 ,Line,Replicate,Day1,Day2,Day3,Day4,Day5,Day6,Day7 
,,,,,,,,,
,WT,1,0,0,12,45,48,48,50
,,,,,,,,,
,WT,2,0,0,15,42,50,50,50
,,,,,,,,,
,WT,3,0,3,35,46,50,50,50
,,,,,,,,,
,WT,4,0,0,7,47,49,49,50
,,,,,,,,,
,ldip 105,1,0,0,22,48,50,50,50
,,,,,,,,,
,ldip 105,2,0,0,18,45,48,50,50
,,,,,,,,,
,ldip 105,3,0,1,21,45,50,50,50
,,,,,,,,,
,ldip 105,4,0,0,25,49,49,49,50
,,,,,,,,,
,ldip157,1,0,1,17,48,50,50,50
,,,,,,,,,
,ldip157,2,0,0,33,50,50,50,50
,,,,,,,,,
,ldip157,3,0,0,23,48,49,49,50
,,,,,,,,,
,ldip157,4,0,0,26,47,49,49,50
,,,,,,,,,
,"ldip+G, +T",1,0,15,48,50,50,50,50
,,,,,,,,,
,"ldip+G, +T",2,0,13,46,49,50,50,50
,,,,,,,,,
,"ldip+G, +T",3,0,14,48,50,50,50,50
,,,,,,,,,
,"ldip+G, +T",4,0,8,49,50,50,50,50
