"","ovicup","treatment","time","zone"
"1","t1","sit","long",1
"2","t10","sit","long",1
"3","t7","sit","long",1
"4","t9","sit","long",1
"5","tovi_3","sit","long",1
"6","tovi_5","sit","long",1
"7","tovi_9","sit","long",1
"8","t13","sit","brief",1
"9","t15","sit","brief",1
"10","t16","sit","brief",1
"11","t19","sit","brief",1
"12","t20","sit","brief",1
"13","t24","control","none",3
"14","t25","control","none",3
"15","t26","control","none",3
"16","t28","control","none",3
"17","t30","control","none",3
"18","t33","control","none",3
"19","t35","control","none",3
"20","t36","control","none",3
"21","t39","control","none",3
"22","t41","control","none",3
"23","t42","control","none",3
"24","t44","control","none",3
"25","c1","control","none",4
"26","c3","control","none",4
"27","c4","control","none",4
"28","c6","control","none",4
"29","covi_10","control","none",4
"30","covi_4","control","none",4
"31","covi_8","control","none",4
"32","covi_9","control","none",4
